"","p","MSE"
"1",1,1.26328786319964
"2",2,0.105054249394372
"3",3,0.103309192122348
"4",4,0.101271069101049
"5",5,0.0989375471587562
"6",6,0.0972177672006291
"7",7,0.095755974307938
"8",8,0.0757128274372642
"9",9,0.075279302338008
"10",10,0.0752308343053485
